1369,128  6,89957E-7  0  -0,000935151  -0,000581765
1368,671  5,396045E-7  0  -0,0009431244  -0,0002419048
1368,214  2,392473E-7  0  -0,0004765231  0,0004392782
1367,757  7,562445E-7  0  0,0002450152  0,001125521
1367,3  1,640537E-6  0  0,0008410988  0,001472736
1366,844  1,510772E-6  0  0,0009782697  0,001300038
1366,388  4,407816E-7  0  0,0005638346  0,0006737168
1365,932  3,059757E-8  0  -0,0001881091  -0,0001347415
1365,477  7,823333E-7  0  -0,0008633007  -0,0007891406
1365,022  1,291119E-6  0  -0,001073023  -0,001051113
1364,567  7,052248E-7  0  -0,0006742111  -0,0008814712
1364,113  1,19509E-7  0  0,0001419619  -0,0004340616
1363,658  5,158071E-7  0  0,0009473748  4,526532E-5
1363,205  1,055717E-6  0  0,001309607  0,0003533746
1362,751  7,136819E-7  0  0,001031093  0,0004240901
1362,298  1,034634E-7  0  0,0002599768  0,0003353989
1361,845  2,323196E-7  0  -0,0005909763  0,0002341701
1361,392  6,919791E-7  0  -0,001072638  0,0002285864
1360,94  5,724134E-7  0  -0,0009464466  0,0003139298
1360,488  1,36812E-7  0  -0,0003108517  0,0003753174
1360,036  1,639757E-7  0  0,0004628733  0,0002649618
1359,585  5,216211E-7  0  0,0009464535  -9,222938E-5
1359,134  6,918073E-7  0  0,0008966959  -0,0006280567
1358,683  8,363278E-7  0  0,0003848323  -0,001140103
1358,232  1,141362E-6  0  -0,0002589929  -0,001381177
1357,782  1,056079E-6  0  -0,0006498844  -0,001184741
1357,332  3,753536E-7  0  -0,0005783903  -0,0005603765
1356,882  5,957093E-8  0  -0,0001301848  0,0002931105
1356,433  7,418619E-7  0  0,0003746563  0,001067598
1355,984  1,47116E-6  0  0,0005847649  0,001481538
1355,535  1,213824E-6  0  0,0003396107  0,001405855
1355,087  5,193839E-7  0  -0,0002246797  0,0009186802
1354,639  3,689611E-7  0  -0,0007520851  0,0002633483
1354,191  4,947641E-7  0  -0,0008826364  -0,000268108
1353,743  2,60946E-7  0  -0,0004789161  -0,0004681191
1353,296  9,630774E-8  0  0,0002749849  -0,0002996683
1352,849  5,507106E-7  0  0,0009668139  0,0001026856
1352,402  9,817865E-7  0  0,001192605  0,0005116447
1351,956  6,773014E-7  0  0,0007995275  0,0007223456
1351,51  2,434898E-7  0  -9,879355E-6  0,000645768
1351,064  4,213664E-7  0  -0,0007794381  0,0003373844
1350,618  6,513441E-7  0  -0,001054587  -4,657285E-5
1350,173  3,107301E-7  0  -0,000646622  -0,0003363459
1349,728  1,450168E-7  0  0,0002481864  -0,0004314767
1349,284  8,390955E-7  0  0,001148169  -0,0003382338
1348,839  1,42577E-6  0  0,001552697  -0,0001480766
1348,395  8,813449E-7  0  0,001225668  2,428397E-5
1347,952  7,169239E-8  0  0,0003333351  0,0001051455
1347,508  2,493781E-7  0  -0,0006450091  9,294191E-5
1347,065  8,266663E-7  0  -0,001185332  4,267409E-5
1346,622  6,051457E-7  0  -0,001014321  1,798502E-5
1346,18  4,178305E-8  0  -0,0002629598  4,319457E-5
1345,737  2,238807E-7  0  0,0006106398  8,586098E-5
